Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
Pumpkin Bread,103,2,0,0,172,20,1,10,2,0,41,1,107,1,1,1,0.1,0,0,62,15,53,6,0,104,0,0,1,0,4,22,0.1,0.1,1,5,0,0,0,0,0,0,0
Pumpkin Cheese Pie,141,4,2,33,228,22,1,19,5,0,88,1,157,1,0,0,0,0,4,54,13,122,5,0,240,0,0.3,1,0,5,17,0,0.2,0,33,0,0,0,0,0,0,0
Pumpkin Chili,193,8,2,41,242,17,6,5,14,0,76,3,540,3,2,2,0.1,8,4,277,51,200,15,2,444,0.4,0.6,44,1,15,33,0.4,0.2,4,58,0,0,0,0,0,0,0
Pumpkin Chocolate Muffins,90,1,1,0,76,19,2,9,2,0,21,1,88,0,0,0,0,0,0,128,20,40,4,0,137,0,0,1,0,3,33,0.1,0.1,1,4,0,0,0,0,0,0,0
Pumpkin Mac & Cheese for One,213,3,1,3,236,38,3,4,9,0,87,2,174,1,0,0,0.1,0,0,159,34,139,32,1,268,0.1,0.2,1,0,6,130,0.3,0.3,2,19,0,0,0,0,0,0,0
Pumpkin Pudding,112,1,1,3,417,24,2,20,3,1,100,1,242,0,0,0,0,0,0,100,24,196,2,0,585,0.1,0.3,3,1,12,11,0,0.2,0,18,0,0,0,0,0,0,0
Pumpkin Soup,200,2,1,14,460,39,10,9,12,0,135,6,345,0,0,0,0,0,0,177,38,73,4,1,1102,0.1,0,6,2,23,19,0.1,0.2,1,27,200,0,0,0,0,0,0
Pupusas Revueltas,221,9,3,38,529,23,2,1,14,0,191,2,321,3,2,1,0.1,2,8,122,43,224,11,2,37,0.3,0.6,13,0,4,40,0.3,0.3,3,22,0,0,0,0,0,0,0
Purple Cow,69,0,0,1,54,13,0,13,3,1,107,0,196,0,0,0,0,0,0,39,18,83,2,0,54,0.1,0.3,16,0,0,4,0,0.1,0,15,0,0,0,0,0,0,0
Quesadilla con Huevos,252,11,5,108,448,27,2,1,11,1,182,2,127,4,1,1,0.1,0,15,95,18,185,21,1,77,0.1,0.3,0,0,2,100,0.3,0.3,2,80,0,0,0,0,0,0,0
Quick 'N Cool Summer Salad,374,10,4,27,541,51,4,7,18,0,201,3,272,2,3,2,0.4,6,41,188,48,243,54,2,60,0.2,0.8,3,1,34,187,0.4,0.4,5,32,0,0,0,0,0,0,0
Quick and Easy Pizza,379,9,5,23,282,54,2,4,19,0,322,3,136,2,1,0,0.1,0,0,119,27,309,28,2,68,0.1,1,0,0,1,256,0.9,0.6,5,14,0,0,0,0,0,0,0
Quick and Easy Potato Casserole,130,4,3,10,270,18,2,2,8,0,200,1,523,1,0,0,0,0,0,0,33,183,4,1,29,0.3,0.3,9,0,2,32,0.1,0.1,2,18,0,12000,0,0,0,0,0
Quick and Healthy Black-Eyed Peas,241,3,1,7,179,39,10,9,15,0,39,3,612,1,1,1,0.2,0,3,306,81,222,7,2,6,0.2,0,4,0,57,219,0.4,0.1,1,76,0,0,0,0,0,0,0
Quick Black Bean Salad,152,1,0,0,236,32,8,3,8,0,45,2,446,0,0,0,0.1,0,0,231,51,0,1,1,5,0.2,0,4,1,4,86,0.2,0.1,1,40,0,0,0,0,0,0,0.153
Quick Chicken & Vegetable Soup,119,2,0,16,338,17,5,6,11,0,65,2,519,1,0,0,0,1,1,192,34,136,7,1,168,0.4,0,17,1,20,28,0.7,0.2,5,41,100,0,0,0,0,0,0
Quick Chili,222,6,2,37,172,24,8,4,18,0,56,4,716,2,1,1,0.2,0,0,294,59,227,11,4,65,0.4,1.3,3,3,18,107,0.2,0.2,6,68,0,0,0,0,0,0,0
Quick Skillet Lasagna,182,5,2,25,236,22,3,7,14,0,96,2,543,2,0,0,0,0,0,212,35,172,21,2,44,0.3,0.9,14,2,5,62,0.5,0.2,3,42,0,0,0,0,0,0,0
Quick Tuna Casserole,279,6,2,34,665,41,3,6,15,1,140,3,265,1,2,2,0.2,8,55,191,45,213,44,1,73,0.2,1.1,3,1,18,145,0.5,0.3,6,50,0,0,0,0,0,0,0
Quinoa and Black Bean Salad,199,5,1,0,154,32,9,4,9,0,64,3,628,3,1,1,0.1,0,6,343,76,202,2,1,64,0.3,0,51,2,23,105,0.3,0.1,1,40,0,0,0,0,0,0,0
Rainbow Bell Pepper Boats with Garbanzo Beans and Kale,330,11,1,0,0,48,9,6,11,0,78,2,597,1,5,4,0.8,0,0,902,110,241,12,2,356,1.1,0,162,2,245,103,0.3,0.2,3,43,0,0,0,0,0,0,0
Rainbow Veggie Salad,132,1,0,0,333,25,8,3,8,0,53,3,540,0,0,0,0.1,0,0,267,51,162,1,1,157,0.2,0,8,1,9,110,0.2,0.1,1,33,0,0,0,0,0,0,0
Ratatouille,77,4,0,0,63,14,5,7,3,0,64,2,580,2,1,1,0.3,0,0,182,38,71,1,1,48,0.4,0,52,1,71,51,0.3,0.2,2,20,0,0,0,0,0,0,0
Red Bean Quesadilla,326,9,5,22,509,48,11,3,18,0,280,4,596,2,1,0,0.3,0,0,380,125,360,31,3,386,0.3,0.2,2,2,302,131,0.3,0.4,3,60,0,0,0,0,0,0,0
Red Beans and Rice,444,10,2,0,420,77,18,8,17,0,103,4,1018,5,3,1,0.2,0,0,619,155,406,18,3,31,0.7,0,46,1,45,162,0.5,0.3,4,93,0,0,0,0,0,0,0
Red Chile Stew,141,3,1,54,53,3,0,1,24,1,13,1,304,1,0,0,0,0,0,117,25,189,32,2,18,0.5,0.5,68,0,5,7,0.4,0.2,8,83,0,0,0,0,0,0,0
Red Hot Fusilli,315,5,1,0,159,56,5,6,11,0,50,3,534,3,1,1,0.1,0,0,280,53,140,41,1,94,0.3,0,30,2,85,221,0.5,0.3,4,23,0,0,0,0,0,0,0
Red Lentil Latkes,138,2,0,47,168,23,7,2,9,0,28,3,494,1,0,0,0,0,7,238,38,178,6,1,20,0.3,0.1,12,0,2,137,0.2,0.1,1,65,0,0,0,0,0,0,0
Red Monster Smoothie,207,1,0,0,20,51,8,33,4,0,110,1,757,0,0,0,0.2,0,0,759,64,87,2,1,182,0.5,0,171,1,253,79,0.2,0.2,2,25,0,0,0,0,0,0,0
Red Potato and Cabbage (Colcannon),48,1,0,1,233,8,2,3,2,0,47,0,218,1,0,0,0.1,0,0,45,13,48,1,0,25,0.1,0,17,0,31,23,0.1,0.1,0,13,100,0,0,0,0,0,0
Red Potato Salad,236,5,1,1,488,41,4,9,8,0,151,2,1184,1,3,2,0.3,0,0,305,61,232,4,1,4,0.4,0,20,1,14,52,0.2,0.2,3,47,400,0,0,0,0,0,0
Refried Beans,197,3,0,0,2,32,11,1,11,0,62,3,542,1,1,1,0.3,0,0,271,62,181,8,1,0,0.3,0,2,1,7,207,0.2,0.1,0,43,0,0,0,0,0,0,0
Rice Bowl Breakfast with Fruit and Nuts,203,5,1,1,31,35,4,10,6,1,101,1,234,1,3,3,0.6,0,0,223,62,172,12,1,39,0.2,0,3,0,2,15,0.2,0.2,2,23,300,0,0,0,0,0,0
Rice Dessert,118,1,0,2,30,26,1,16,3,0,78,0,182,0,0,0,0,0,0,72,24,91,5,1,5,0.1,0.2,1,0,1,7,0.1,0.1,1,11,0,0,0,0,0,0,0
Rice Pudding,190,5,3,67,66,30,0,11,6,1,132,1,178,2,0,0,0.1,0,7,72,21,143,11,1,55,0.1,0.3,1,0,0,75,0.1,0.2,1,53,0,0,0,0,0,0,0
Rice Salad,160,6,1,2,100,23,3,6,3,0,22,1,158,1,3,3,0.4,0,0,113,36,79,7,1,22,0.2,0,12,1,23,18,0.1,0.1,1,14,0,0,0,0,0,0,0
Rice-Crusted Pizza,174,9,4,37,472,12,1,3,12,0,292,1,181,2,1,0,0.1,0,2,64,21,232,10,1,81,0.1,0.9,1,1,6,36,0.1,0.2,2,24,0,0,0,0,0,0,0
Roast Chicken,312,25,7,81,81,0,0,0,20,0,15,1,240,11,5,5,0.2,11,57,88,24,198,16,1,59,0.4,0.4,0,1,5,8,0.1,0.2,7,75,0,0,0,0,0,0,0
"Roast Turkey Breast with Rosemary, Sage, and Thyme",213,6,1,96,67,3,1,1,35,0,26,2,397,4,1,1,0,0,12,95,37,268,37,2,76,0.7,0.5,2,1,9,13,0.1,0.2,9,100,0,0,0,0,0,0,0
Roasted Bell Peppers,55,3,0,0,151,8,3,4,2,0,20,1,296,1,1,1,0.1,0,0,113,17,35,0,0,30,0.4,0,132,1,16,17,0.1,0.1,1,9,0,0,0,0,0,0,0
Roasted Brussels Sprouts,58,3,0,0,72,8,3,2,3,0,37,1,344,1,1,1,0.2,0,0,62,20,61,1,0,33,0.2,0,75,1,158,54,0.1,0.1,1,17,0,0,0,0,0,0,0
"Roasted Brussels Sprouts, Potatoes, and Chicken",400,12,3,75,370,40,6,6,35,0,207,3,1318,6,2,1,0.2,8,17,340,83,396,41,2,59,1,0.5,82,2,157,85,0.3,0.3,13,115,0,0,0,0,0,0,0
Roasted Cauliflower,68,5,1,3,164,4,1,1,3,0,76,0,225,3,0,0,0.1,0,0,31,13,67,2,0,10,0.1,0.1,35,1,14,42,0,0.1,0,33,0,0,0,0,0,0,0
Roasted Cauliflower Steaks,48,3,0,0,224,6,2,2,2,0,23,0,306,1,1,1,0.1,0,0,43,16,46,1,0,0,0.2,0,49,0,18,57,0.1,0.1,1,44,0,0,0,0,0,0,0
Roasted Chickpeas (Garbanzo Beans),161,6,0,0,252,22,6,4,7,0,35,2,220,3,2,2,0.4,0,0,186,31,112,3,1,1,0.1,0,1,1,6,70,0.1,0.1,0,34,0,0,0,0,0,0,0
Roasted Herb Potatoes,41,2,0,0,196,6,1,0,1,0,5,0,150,1,1,1,0.1,0,0,39,8,20,0,0,0,0.1,0,7,0,3,6,0,0,0,4,0,0,0,0,0,0,0
Roasted Potatoes,76,1,0,0,102,16,2,1,2,0,16,1,368,0,0,0,0.1,0,0,99,21,51,0,0,10,0.3,0,27,0,14,17,0.1,0,1,11,0,0,0,0,0,0,0
Roasted Root Vegetables,323,15,2,3,87,43,6,4,6,0,86,2,1038,6,6,5,0.8,0,0,256,57,166,2,1,262,0.7,0.1,46,2,23,45,0.2,0.1,3,31,0,0,0,0,0,0,0
Roasted Tomatoes with Herbs,72,5,1,1,31,6,2,3,2,0,38,0,308,3,1,1,0.1,0,0,82,16,45,1,0,55,0.1,0,18,1,16,19,0.1,0,1,9,0,0,0,0,0,0,0
Round Steak Casserole,258,6,2,56,567,29,5,7,23,0,63,4,871,2,1,0,0,0,0,276,56,217,23,4,27,0.7,1.1,35,1,26,44,0.5,0.2,5,102,0,0,0,0,0,0,0
Salata Ma Jibna (Salad with Parmesan Cheese),90,8,1,2,336,5,1,2,2,0,45,0,137,5,1,1,0.1,0,0,32,9,35,1,0,79,0.1,0,10,1,14,13,0,0,0,5,0,0,0,0,0,0,0
Salmon Burgers,206,7,2,100,501,17,1,2,18,10,185,2,318,2,2,1,0.1,228,432,93,29,292,28,1,58,0.2,3.1,1,1,3,62,0.2,0.3,5,112,0,0,0,0,0,0,0
Salmon Burgers and Sweet Potato Oven Fries,490,14,2,45,590,69,11,19,25,10,250,4,2025,5,5,2,0.6,557,779,0,158,598,85,3,1845,1.3,3.1,72,4,48,88,0.7,0.5,16,186,0,972000,0,0,0,0,0
Salmon Patties,165,8,1,98,316,7,1,1,16,10,159,1,261,3,2,1,0.3,228,432,80,25,256,28,1,42,0.2,3,1,1,2,35,0.1,0.2,5,104,0,0,0,0,0,0,0
Salsa Pinto Beans,155,3,0,0,324,26,9,2,8,0,49,2,462,2,0,0,0.1,0,0,216,49,141,6,1,9,0.3,0,6,1,7,158,0.2,0.1,0,34,0,0,0,0,0,0,0
Salt-free All Purpose Blend,2,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanchico Tuna Salad,120,6,1,15,254,10,4,5,10,1,22,1,416,3,1,1,0.1,12,82,147,29,95,30,1,52,0.3,1.1,21,1,12,50,0.1,0.1,5,23,0,0,0,0,0,0,0
Sarah’s Green Bean Casserole,111,4,1,4,274,17,3,4,4,0,79,1,284,1,1,1,0.1,0,0,158,28,102,5,1,53,0.1,0.2,8,0,11,37,0.1,0.2,2,23,0,0,0,0,0,0,0
Sarah’s Spicy Curry Turkey Soup,280,9,3,56,339,26,4,5,26,0,75,3,858,3,2,1,0.1,0,29,321,54,257,26,3,424,0.6,0.4,13,1,67,60,0.2,0.3,7,79,0,0,0,0,0,0,0
"Sardine, Cucumber, and Tomato Sandwich",230,3,1,17,460,29,5,6,23,3,84,2,474,1,1,0,0,27,126,309,74,232,68,2,25,0.4,1.7,15,1,11,49,0.3,0.2,10,39,0,0,0,0,0,0,0
Sautéed Beet Greens,50,3,0,0,67,4,2,1,2,0,90,1,298,1,1,1,0.2,0,0,130,25,47,1,0,114,0.2,0,54,2,196,9,0.1,0.1,1,1,0,0,0,0,0,0,0
Sautéed Cauliflower Rice,76,4,1,0,336,10,3,4,3,0,39,1,474,1,2,1,0.2,0,0,70,24,72,1,0,0,0.3,0,73,1,27,88,0.1,0.1,1,67,0,0,0,0,0,0,0
Savory Bread Pudding with Kale and Butternut Squash,372,12,4,227,618,46,5,15,24,2,473,4,923,4,2,1,0.2,2,19,1024,97,464,39,3,701,0.5,1.5,69,3,361,98,0.4,0.8,3,166,0,0,0,0,0,0,0
Savory Meatloaf Muffins,214,11,5,88,318,8,1,1,20,1,112,2,306,4,1,1,0.1,0,5,103,34,252,19,5,51,0.3,2,0,0,1,15,0.1,0.2,4,80,0,0,0,0,0,0,0
Scallion Rice,205,2,0,0,35,42,3,1,5,0,26,1,97,1,1,1,0,0,0,180,78,151,18,1,3,0.3,0,1,0,13,11,0.2,0.1,3,19,0,0,0,0,0,0,0
Scrambled Tofu,169,11,4,89,51,6,2,3,16,0,298,3,313,3,3,3,0.3,0,13,396,65,240,21,2,60,0.2,0.2,7,0,21,68,0.1,0.3,1,112,0,0,0,0,0,0,0
Seared Greens,89,5,1,0,133,9,2,0,4,0,141,1,455,2,2,2,0.4,0,0,1355,44,86,1,1,447,0.3,0,108,1,635,28,0.1,0.1,1,1,0,0,0,0,0,0,0
Seasoned Roasted Vegetables,169,1,0,0,149,37,6,7,6,0,52,2,1176,0,0,0,0.1,0,0,291,70,175,1,1,18,0.8,0,71,0,10,73,0.2,0.3,3,35,0,0,0,0,0,0,0
Sensational Six-Layer Dinner,234,7,3,47,359,27,4,8,18,0,51,3,839,3,0,0,0.1,0,0,251,50,209,15,4,376,0.6,1.7,27,1,13,36,0.2,0.2,5,71,0,0,0,0,0,0,0
Shake-A-Pudding,92,0,0,1,199,21,1,18,2,1,78,0,203,0,0,0,0,0,0,42,15,153,2,0,38,0.1,0.3,3,0,0,9,0,0.1,0,13,0,0,0,0,0,0,0
Shepherd's Pie,208,5,1,28,72,31,5,4,11,0,56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shirini,253,7,1,0,5,50,2,44,2,0,35,1,316,1,5,4,0.9,0,0,219,27,53,1,0,53,0.2,0,10,0,1,28,0.1,0.1,1,12,0,0,0,0,0,0,0
Shorba (Lamb and Peanut Soup),396,22,8,88,135,17,6,8,34,0,99,4,775,10,2,1,0.1,3,2,241,69,323,22,8,229,0.6,0,53,1,98,87,0.2,0.3,5,142,3300,0,0,0,0,0,0
Short Cut Lasagna,442,17,9,49,426,44,4,8,27,0,562,3,595,4,1,1,0.2,0,0,240,63,457,45,3,192,0.3,1.1,3,3,19,139,0.3,0.5,7,42,0,0,0,0,0,0,0
Shrimp Confetti Salad Sandwich with Grapes,330,6,1,115,450,43,8,7,27,0,150,4,695,2,2,1,0.2,189,162,541,112,325,51,3,82,0.4,0.5,12,2,22,92,0.4,0.2,6,106,0,0,0,0,0,0,0
Simmered Beans,118,1,0,0,56,22,7,1,7,0,44,2,361,0,0,0,0.1,0,0,194,42,120,5,1,0,0.2,0,1,1,3,139,0.2,0.1,0,29,0,0,0,0,0,0,0
Simple Fish Tacos,220,4,1,36,355,32,4,4,15,0,90,1,499,2,1,1,0.1,24,68,137,62,392,20,1,60,0.3,1.4,23,1,22,24,0.1,0.1,2,65,0,0,0,0,0,0,0
Simple Green Smoothie,299,4,2,0,156,56,7,38,13,1,454,2,1119,0,0,0,0,0,0,659,83,363,10,2,263,0.5,0,0,1,242,0,0.2,0.6,2,56,0,0,0,0,0,0,0
Simple Stuffed Peppers,357,4,2,6,599,63,13,6,19,0,191,3,788,1,1,1,0.1,0,0,490,129,423,21,2,66,0.6,0.1,109,2,19,98,0.4,0.3,4,55,0,0,0,0,0,0,0
Simply Satisfying Kale and Tuna Salad,278,16,2,30,262,16,3,3,22,1,0,0,0,10,2,2,0.3,23,164,0,0,0,0,0,690,0.7,2.1,170,3,954,49,0.2,0.2,10,26,0,0,0,0,0,0,0
Skillet Lasagna,361,14,7,38,377,37,4,6,22,0,501,3,499,3,1,1,0.3,0,0,227,72,375,38,3,310,0.3,0.9,2,3,165,149,0.3,0.4,5,38,0,0,0,0,0,0,0
Skillet Meals,276,1,0,0,724,55,12,9,16,0,200,7,1159,0,1,0,0.1,0,0,615,125,237,8,2,50,0.3,0,41,4,64,128,0.3,0.2,3,73,0,0,0,0,0,0,0
Skillet Noodles and Beef,181,6,2,36,413,19,3,4,14,0,144,2,406,2,1,1,0.2,0,0,166,52,200,20,2,197,0.3,1,2,2,157,104,0.2,0.3,4,49,0,0,0,0,0,0,0
Skillet Pasta Dinner,308,6,1,28,277,47,7,7,16,0,75,3,496,2,2,2,0.1,5,3,283,55,190,38,2,164,0.4,0.4,13,2,21,151,0.8,0.4,6,52,0,0,0,0,0,0,0
Skillet-Braised Chicken,139,9,1,48,242,0,0,0,15,0,3,0,180,3,3,3,0.4,2,3,23,14,113,16,0,4,0.4,0,0,1,8,3,0,0.1,5,38,100,0,0,0,0,0,0
Skinny Pizza,190,5,1,5,450,26,3,6,9,0,200,2,375,2,1,1,0.1,0,0,211,26,214,14,1,33,0.2,0.2,0,1,8,82,0.2,0.3,4,19,0,0,0,0,0,0,0
Sloppy Garden Joes,160,6,1,28,317,19,4,7,10,0,61,2,343,2,2,2,0.1,5,3,197,39,148,21,2,67,0.3,0.4,17,1,6,20,0.3,0.2,4,36,0,0,0,0,0,0,0
Slow Cooker Beans,345,1,0,0,609,69,10,17,16,0,120,4,1067,0,1,0,0.2,0,0,547,124,305,4,2,29,0.4,0,4,3,9,290,0.5,0.2,2,70,0,0,0,0,0,0,0
Slow Cooker Beef Stew,282,5,2,68,216,29,4,4,30,0,42,3,833,2,0,0,0,3,1,226,52,258,32,5,255,0.8,1.5,26,1,9,55,0.2,0.2,7,121,0,0,0,0,0,0,0
Slow Cooker Hamburger Stew,275,10,4,71,240,22,5,6,25,0,88,4,1022,4,1,0,0.1,0,0,263,58,269,19,6,293,0.8,2.5,32,1,17,46,0.7,0.3,7,91,0,0,0,0,0,0,0
Slow Cooker Lentil Soup,175,1,0,0,179,31,12,4,13,0,46,5,609,0,0,0,0.1,0,0,381,56,260,4,2,171,0.3,0,5,0,7,254,0.3,0.1,2,48,0,0,0,0,0,0,0
Slow Cooker Pork Stew over Brown Rice,360,5,2,54,139,50,6,19,27,1,89,2,658,2,1,1,0.1,0,0,241,83,316,45,3,61,0.6,0.5,8,0,6,15,0.6,0.3,10,96,0,0,0,0,0,0,0
Slow-Cook Barbecue,206,5,2,71,343,11,0,9,28,0,36,2,506,2,0,0,0,0,0,127,30,237,35,5,7,0.7,1.3,2,1,2,13,0.1,0.2,8,107,0,0,0,0,0,0,0
Smoked Ham Hocks with Lima Beans,130,1,0,10,400,18,4,1,12,1,20,1,775,2,1,0,0.1,0,0,0,61,298,25,3,4,0.5,0.4,6,0,2,92,0.6,0.2,4,99,0,338000,0,0,0,0,0
Smoky Mustard-Maple Salmon,148,4,1,53,276,4,0,3,23,13,18,1,434,2,1,0,0.1,258,505,79,38,310,36,1,70,0.7,5.5,0,1,1,9,0.2,0.1,9,110,0,0,0,0,0,0,0
Smothered Greens,84,1,0,18,61,9,5,3,12,0,196,3,695,0,0,0,0,1,1,301,62,150,9,1,242,0.5,0,114,3,412,25,0.1,0.2,4,21,100,0,0,0,0,0,0
Snappy Cole Slaw,37,0,0,0,15,9,1,7,0,0,17,0,73,0,0,0,0,0,0,12,6,11,0,0,2,0,0,13,0,27,15,0,0,0,4,0,0,0,0,0,0,0
Snappy Rice Dish,314,2,0,0,310,60,14,4,16,0,66,4,686,1,1,0,0.2,0,0,468,112,300,11,2,194,0.3,0,4,0,31,163,0.3,0.2,4,66,0,0,0,0,0,0,0
Soft Chicken Taco,175,4,1,33,450,19,2,4,16,0,73,2,551,1,1,1,0.1,5,10,196,54,235,16,1,141,0.6,0,51,1,106,73,0.1,0.1,8,59,200,0,0,0,0,0,0
Soft Pretzels,140,1,0,16,8,28,2,1,5,0,12,2,92,0,0,0,0,0,2,102,26,91,18,1,7,0.1,0,0,0,0,93,0.4,0.2,2,19,0,0,0,0,0,0,0
Somali Summer Salad,92,5,1,0,5,12,3,8,1,0,18,0,287,4,1,1,0.1,0,0,97,17,33,0,0,28,0.2,0,35,1,14,19,0.1,0,0,9,0,0,0,0,0,0,0
South of the Border Dip,23,0,0,2,101,4,0,2,1,0,52,0,83,0,0,0,0,0,0,12,6,42,1,0,16,0,0.1,2,0,1,5,0,0.1,0,6,0,0,0,0,0,0,0
South of the Border Salad,253,6,1,0,497,44,10,5,11,0,68,3,614,4,1,1,0.1,0,0,342,66,201,2,1,8,0.2,0,7,0,0,122,0.3,0.1,1,0,0,0,0,0,0,0,0
Southern Banana Pudding,215,4,2,9,376,41,1,34,4,1,132,0,258,1,1,1,0.1,1,1,63,20,258,5,0,59,0.1,0,2,0,1,22,0.1,0.2,1,20,500,0,0,0,0,0,0
Southwestern Pepper Cups,110,2,1,4,169,20,3,3,4,0,47,1,193,1,0,0,0,0,0,134,38,93,7,1,27,0.3,0,50,0,0,17,0.1,0.1,1,0,0,0,0,0,0,0,0
Soy Marinated Chicken,190,4,1,84,361,6,1,4,32,0,36,1,366,1,1,1,0,10,20,73,39,246,28,1,11,0.6,0.3,24,0,0,21,0.1,0.2,14,91,0,0,0,0,0,0,0
"Spaghetti Squash with Tomatoes, Basil, and Parmesan",77,5,1,3,67,7,2,3,2,0,83,1,195,3,1,0,0.2,0,0,67,20,46,1,0,28,0.1,0.1,6,1,18,18,0,0,1,10,0,0,0,0,0,0,0
Spaghetti with Quick Meat Sauce,389,9,3,48,416,53,9,6,28,0,134,5,709,3,1,1,0.1,0,0,450,76,304,52,4,105,0.4,1.4,13,2,38,26,0.3,0.2,5,66,0,0,0,0,0,0,0
Spanish Baked Fish,129,3,0,58,622,7,2,4,18,52,60,1,459,1,1,0,0.1,67,166,97,40,301,32,1,54,0.2,1.5,3,3,12,21,0.1,0.1,4,81,0,0,0,0,0,0,0
Spanish Frittata,268,9,2,279,395,35,5,3,12,1,64,3,907,3,2,1,0,3,24,279,53,239,22,1,92,0.7,0.9,38,1,8,66,0.2,0.4,2,190,0,0,0,0,0,0,0
Spanish Omelet,289,10,3,121,238,35,5,4,17,1,188,2,1052,4,1,1,0.1,0,17,318,64,296,21,2,86,0.7,0.7,64,1,9,62,0.2,0.5,3,121,0,0,0,0,0,0,0
Spanish Rice,179,5,1,0,296,30,2,3,3,0,41,2,225,2,2,2,0.3,0,0,128,23,61,8,1,29,0.2,0,20,1,9,97,0.6,0.1,2,9,0,0,0,0,0,0,0
Spanish Rice II,297,12,4,60,496,30,3,3,19,0,145,2,333,4,3,3,0.1,10,5,295,73,292,30,3,51,0.5,1,8,0,0,23,0.2,0.2,6,0,0,0,0,0,0,0,0
Speedy Burritos,184,5,1,41,341,29,3,2,6,0,60,2,391,2,1,1,0.1,0,6,143,27,105,10,1,20,0.3,0.1,25,0,5,70,0.2,0.2,2,45,0,0,0,0,0,0,0
Spicy Baked Fish,239,16,3,61,94,1,0,0,21,0,17,0,383,6,6,2,0.4,665,1403,52,30,245,40,0,47,0.6,2.7,5,1,6,34,0.3,0.1,8,1,0,0,0,0,0,0,0
Spicy Baked Fish II,87,1,0,49,380,3,1,2,17,1,30,1,379,0,0,0,0,36,102,58,28,311,25,0,14,0.2,2,15,1,2,14,0.3,0.1,2,73,0,0,0,0,0,0,0
Spicy Carrots and Squash,39,0,0,0,91,8,2,5,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,514,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spicy Chicken and Potato Soup,224,3,0,7,37,42,6,4,8,0,42,2,855,1,1,1,0.2,1,3,277,57,164,5,1,14,0.7,0,45,0,12,71,0.3,0.1,4,0,0,0,0,0,0,0,0
Spicy Okra,38,2,0,0,122,6,2,3,2,0,65,1,218,1,1,1,0.1,0,0,85,32,35,0,0,12,0.1,0,14,1,27,80,0.1,0.1,1,9,0,0,0,0,0,0,0
Spicy Oven-Baked Chicken,151,7,2,112,400,1,0,0,20,0,17,1,245,3,1,1,0.1,4,3,57,22,184,22,2,10,0.4,0.3,1,0,8,5,0.1,0.2,5,60,0,0,0,0,0,0,0
Spinach and Meat Cakes,459,6,2,44,307,75,7,2,25,0,111,5,767,2,1,1,0.2,0,0,461,205,424,43,6,338,0.8,1.8,21,2,350,158,0.4,0.3,9,92,0,0,0,0,0,0,0
Spinach and Mushroom Enchilada Casserole,197,7,3,12,435,23,6,6,14,0,291,3,785,2,1,0,0,0,0,578,91,334,20,2,385,0.4,0.2,22,3,303,105,0.2,0.7,6,47,0,0,0,0,0,0,0
Spinach Rice Salad,196,3,0,2,198,37,3,3,5,0,39,1,210,1,1,1,0.1,0,0,171,75,143,17,1,34,0.3,0,4,0,60,32,0.2,0.1,2,19,0,0,0,0,0,0,0
Spinach Salad with Apples and Eggs,360,11,2,185,560,59,10,33,9,1,150,4,845,5,2,2,0.4,3,19,270,97,178,21,1,358,0.3,0.6,12,3,304,161,0.2,0.5,1,137,0,0,0,0,0,0,0
Spinach Salad with Apples and Raisins,212,9,1,0,29,33,2,26,2,0,46,1,402,6,3,2,0.9,0,0,129,35,45,1,0,149,0.1,0,11,2,160,63,0.1,0.1,0,10,0,0,0,0,0,0,0
Spinach Stuffed Potatoes,215,3,1,6,116,40,6,2,9,0,150,3,1066,1,1,0,0,0,0,313,85,204,5,1,237,0.7,0.1,44,1,210,87,0.2,0.2,3,41,0,0,0,0,0,0,0
Splendid Fruit Salad,101,1,0,2,29,23,3,17,3,0,80,0,280,0,0,0,0,0,0,49,19,72,2,0,8,0.2,0.2,7,0,2,13,0,0.1,0,12,0,0,0,0,0,0,0
Split Pea Soup,329,6,1,0,447,54,20,10,23,0,82,4,1143,3,2,2,0.4,0,0,578,94,294,2,3,310,0.2,0.2,8,1,28,155,0.5,0.2,5,83,0,0,0,0,0,0,0
